exa,博主头像,博主id,博主,博主主页,博文,博文独立网址,发布时间,发布终端,转发数,评论数,点赞数,<fullpath>,<createdate>,,,,,count,forward,comment,likes
聂树斌,http://tva2.sinaimg.cn/crop.0.72.409.409.50/62f8add8jw1e82cbjwcv8j20bf0ep3zo.jpg,1660464600,特许连锁李维华,http://weibo.com/texu?refer_flag=1001030103_,果然，河北又逮到一个。我以前早就说过无数次，从李刚的儿子、聂树斌等冰山一角的案件中，我们早就应该十分、必须、一定、毫无疑问、肯定、确定的清楚的是：河北的官场肯定有大问题！……所以，再次强烈建议中央把河北的领导们全抓起来，然后刑讯逼供，一定能问出很多问题来！,http://weibo.com/1660464600/CgVIk4Iml?refer_flag=1001030103_,2015-05-08 22:15,微博 weibo.com,2,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=15,2016-12-7 12:47:30,1,2,1,0,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.996.996.50/5ff29ca4jw8f13gyigls4j20ro0rpq5r.jpg,1609735332,李蒙不蒙你,http://weibo.com/209099768?refer_flag=1001030103_,【聂树斌案研讨会实录（之一）】有中国政法大学终身教授陈光中先生、中国政法大学诉讼法学研究院副院长顾永忠教授、北京理工大学法学院@徐昕 教授、北京大学法学院陈永生教授等专家发言。|聂树斌案研...,http://weibo.com/1609735332/CgV2voiYf?refer_flag=1001030103_,2015-05-08 20:32,360安全浏览器,38,13,9,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=15,2016-12-7 12:47:30,1,38,13,9,,,,
聂树斌,http://tva4.sinaimg.cn/crop.37.2.468.468.50/913a34b6gw1f9a9eyqrtbj20ff0dctc2.jpg,2436510902,不挠的老太太李挺,http://weibo.com/u/2436510902?refer_flag=1001030103_,对于聂树斌案，我想说：那些洪道德们，想把这桩全民公愤的冤假错案继续【“合法”地维持下去】，你们欺骗天地公理，毫无做人的良知，这样的法学教授，还站出来说话？科学的认知来自人正义感，而不是你们揣着明白装糊涂，拿几句法律条文来蒙骗百姓的。,http://weibo.com/2436510902/CgTpS8tfp?refer_flag=1001030103_,2015-05-08 16:24,微博 weibo.com,3,0,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=15,2016-12-7 12:47:30,1,3,0,2,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.180.180.50/67a050dfjw1e8qgp5bmzyj2050050aa8.jpg,1738559711,庄蛭,http://weibo.com/u/1738559711?refer_flag=1001030103_,再说一句聂树斌案。王书金这个强奸杀人犯，正好咬住一件同样是强奸杀人案，而且案发时他正好在现场100米外打工，并且，这起奸杀案的定罪只有口供，再并且，他正好知道案发现场玉米地里有一串被害人的钥匙。这么多并且串联起来就不可能发生了，用奥卡姆剃刀原则：这案件就是王书金干的。,http://weibo.com/1738559711/CgSVK0CoL?refer_flag=1001030103_,2015-05-08 15:09,微博 weibo.com,5,3,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=15,2016-12-7 12:47:30,1,5,3,0,,,,
聂树斌,http://tva3.sinaimg.cn/default/images/default_avatar_male_50.gif,1401052342,牛牛呆帝,http://weibo.com/u/1401052342?refer_flag=1001030103_,还用查吗，案卷都篡改多次，几乎铁定的冤案，和胡格案完全一样，目前正在博弈人不认帐。//【徐明轩：聂树斌案复查与否，得防“舆论干预”】 |聂树斌案得...,http://weibo.com/1401052342/CgSSmvjJr?refer_flag=1001030103_,2015-05-08 15:01,手机新浪网,1,0,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=15,2016-12-7 12:47:30,1,1,0,1,,,,
聂树斌,http://tva3.sinaimg.cn/crop.18.4.525.525.50/c40841edjw8ev80iqd0nqj20fa0faabq.jpg,3288875501,河南日报,http://weibo.com/hnrbwb?refer_flag=1001030103_,#盛氏微言#【聂树斌案是一堂法治公开课】复查听证备受关注。程序正义、重证据轻口供、无罪推定、疑罪从无……这些法治理念正在接受检验。聂家有申诉的权利，河北高院当然也有申辩的权利。不管是否再审，此案都将写入中国法治史。因此，关注此案就是关注中国法治进程。（盛大林）|河北高院否...,http://weibo.com/3288875501/CgStdawAH?refer_flag=1001030103_,2015-05-08 13:59,微博 weibo.com,40,4,6,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,40,4,6,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.540.540.50/6d5d6f0cjw8es1j4n8tilj20f00f0weq.jpg,1834839820,yzhifa,http://weibo.com/yzhifa?refer_flag=1001030103_,发表了博文《这几天在网上看到对聂树斌案、吕纯合案的讨论再联想到3-4月发生在我身边的事。冤案、器官移植、直接毙》这几天在网上看到对聂树斌案、吕纯合案的讨论再联想到3-4月发生在我身边的事。冤案、器官移|这几天在网...,http://weibo.com/1834839820/CgSloyISm?refer_flag=1001030103_,2015-05-08 13:40,新浪博客,11,73,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,11,73,1,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.640.640.50/e9f0dceejw8eiw3sdf18yj20hs0hsjsr.jpg,3924876526,南海有鸣,http://weibo.com/u/3924876526?refer_flag=1001030103_,和聂树斌案一样，庆安枪案的受网民的受重视程度远远不及“学生给老师打伞”“男司机打女司机”这类“鸡毛”小事。可能是因为大家都懂得前两件政治复杂，而后两件只需要“指着鼻子大骂国民素质道德丧失”之类的废话，毕竟，说这些pi话是不大需要受教育程度和知识的门槛的 |庆安枪案，...,http://weibo.com/3924876526/CgS8odoMP?refer_flag=1001030103_,2015-05-08 13:08,Android客户端,1,5,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,1,5,1,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.180.180.50/53b51d9fjw1e8qgp5bmzyj2050050aa8.jpg,1404378527,刘春泉律师,http://weibo.com/chinalawyer?refer_flag=1001030103_,"评论@董坚 的博文【[转载]职业摄影师对聂树斌刑场雪地照片的解读】：""公开证据，总会有专家拿出确凿的分析，这个案件就应全卷公开，各领域的专家偏才都出来发表意见，真的假不了，假的也真不了。希望再审能好歹恢复一些司法的权威和公信力。""查看原文：|[转载]职业...",http://weibo.com/1404378527/CgRZwfB7v?refer_flag=1001030103_,2015-05-08 12:46,新浪博客,1,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,1,0,0,,,,
聂树斌,http://tva1.sinaimg.cn/default/images/default_avatar_male_50.gif,2133178964,冰雪聪明110,http://weibo.com/u/2133178964?refer_flag=1001030103_,发表了博文《何家弘：聂树斌案的司法包袱如何放下》何家弘：聂树斌案的司法包袱如何放下此案举行听证，却不能止步于听证。如果现在糊弄过去了，会永远钉在历史的耻辱柱上 【财新网】（记者江雪）4月28日，山东http://t.cn/RAgYLhQ,http://weibo.com/2133178964/CgRaTwP6d?refer_flag=1001030103_,2015-05-08 10:41,新浪博客,2,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,2,1,0,,,,
聂树斌,http://tva2.sinaimg.cn/crop.15.32.201.201.50/ec26b0c6gw1ec7w5c8kagj206o09cglz.jpg,3961958598,九江律师-蔡彬18079240094,http://weibo.com/u/3961958598?refer_flag=1001030103_,分享自陈光武律师《聂树斌案应启动再审程序-对涉案证据作一学理上的综合评价》 - 聂树斌案应启动再审程序 【我要纠错】 【字体：大 默认 小】【打印】【关闭】... (来自 @头条博客)... |聂树斌案应...,http://weibo.com/3961958598/CgQMmoDlQ?refer_flag=1001030103_,2015-05-08 9:41,bShare分享,1,0,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,1,0,1,,,,
聂树斌,http://tva1.sinaimg.cn/default/images/default_avatar_male_50.gif,2133178964,冰雪聪明110,http://weibo.com/u/2133178964?refer_flag=1001030103_,发表了博文《河北高院否认聂树斌案新证据称瑕疵不算证据》2015年05月07日18:43中国新闻周刊罪与错聂树斌案听证纪实 聂树斌案在山东高院举行听证会，似乎印证了此案在该院复查后，人们的乐观预期�http://t.cn/RAgpri5,http://weibo.com/2133178964/CgQC0xbnI?refer_flag=1001030103_,2015-05-08 9:15,新浪博客,4,2,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,4,2,0,,,,
聂树斌,http://tva1.sinaimg.cn/default/images/default_avatar_male_50.gif,2133178964,冰雪聪明110,http://weibo.com/u/2133178964?refer_flag=1001030103_,发表了博文《港媒：聂树斌案绝不仅仅是错判和章含之换器官有关》按：就此问题，章含之的女儿洪晃曾经公开回应过。港媒：聂树斌案绝不仅仅是错判和章含之换器官有关树大根深5557262219发布于2015年5月|港媒：聂树...,http://weibo.com/2133178964/CgQ5Cn5m7?refer_flag=1001030103_,2015-05-08 7:55,新浪博客,5,1,5,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,5,1,5,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.180.180.50/7fd6e271jw1e8qgp5bmzyj2050050aa8.jpg,2144789105,爱新觉罗载勋,http://weibo.com/abcdpla1234?refer_flag=1001030103_,事情远比想象的复杂。仅从法律上，申诉方并未在听证中占便宜。新证据尚需鉴定，老证据依然存疑。而河北方面则表现出超乎寻常的强硬，不仅否认申诉方的所有新证据，甚至提出不应将程序上的瑕疵，纳入这一案件的证据证明体系。———【河北高院否认聂树斌案新证据：瑕疵不算证据】 |河北高院否...,http://weibo.com/2144789105/CgPsvhlcK?refer_flag=1001030103_,2015-05-08 6:19,分享按钮,3,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,3,1,0,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.512.512.50/6b3153e3jw8f0mpdpor3sj20e80e8q3k.jpg,1798394851,烟雨西山路斜阳,http://weibo.com/u/1798394851?refer_flag=1001030103_,以现在的标准当然不能，但是那是二十年前，那时候办案是没有期限的，就是关一个人是没有期限的，不像现在，都有一定的期限，时代在进步，以现在的标准...//@fang29563:这样可疑的案子，至少人不能被枪毙吧！//【河北高院否认聂树斌案新证据 称瑕疵不算证据】 |河北高院否...,http://weibo.com/1798394851/CgOFZcFNc?refer_flag=1001030103_,2015-05-08 4:20,手机新浪网,1,2,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,1,2,0,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.512.512.50/6b3153e3jw8f0mpdpor3sj20e80e8q3k.jpg,1798394851,烟雨西山路斜阳,http://weibo.com/u/1798394851?refer_flag=1001030103_,全民裁决还要法院干嘛？//@孤单的红树林:为什么要签保密协议？难道真的见不了阳光？？？？？这就是中国法律现实版吗？//【河北高院否认聂树斌案新证据 称瑕疵不算证据】 |河北高院否...,http://weibo.com/1798394851/CgOAS9fSA?refer_flag=1001030103_,2015-05-08 4:07,手机新浪网,1,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,1,0,0,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.180.180.50/61ac9305jw1e8qgp5bmzyj2050050aa8.jpg,1638699781,卉能,http://weibo.com/532056755?refer_flag=1001030103_,远远围观，有个问题:假设王书金案与聂树斌案由河北高院两拨人独立审（类似捉到一伙犯罪嫌疑人，分开审一个道理）。 是不是两人都是死刑？会有其他结...//【聂树斌案律师发10篇博客披露卷宗 称作最坏打算】 http://http://t.cn/RAghwrI,http://weibo.com/1638699781/CgOAzeq1o?refer_flag=1001030103_,2015-05-08 4:06,手机新浪网,0,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,0,0,0,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.180.180.50/674b2b24jw1e8qgp5bmzyj2050050aa8.jpg,1732979492,肖高平律师,http://weibo.com/u/1732979492?refer_flag=1001030103_,发表了博文《聂树斌冤案辩护律师不得已博客披露卷宗》聂树斌案异地复查纪实在聂案走向听证的过程中，至少有以下因素发挥了重要作用：对冤假错案平反的大背景，聂树斌家人的20年坚持，律师的细致调查取证，以及普遍|聂树斌冤案...,http://weibo.com/1732979492/CgMF1na3D?refer_flag=1001030103_,2015-05-07 23:12,新浪博客,54,8,6,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,54,8,6,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.640.640.50/668687a9jw8ey32s3p15qj20hs0hs3zc.jpg,1720092585,刑案医疗季律师,http://weibo.com/zsjcw?refer_flag=1001030103_,分享自季春伟律师《对聂树斌一案的简要分析》 - 受易胜华律师邀请，对聂树斌案经过研究后，发布一些意见如下： 一、聂树斌供述的真实性问题。 聂对作案动机，作案前后及作案过... (来自 @头条博客) |对聂树斌一...,http://weibo.com/1720092585/CgMEHjxur?refer_flag=1001030103_,2015-05-07 23:11,bShare分享,71,20,7,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,71,20,7,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.640.640.50/a64bd38djw8exwwj4rdwej20hs0hsaab.jpg,2789987213,发布威海乳山,http://weibo.com/u/2789987213?refer_flag=1001030103_,聂树斌案律师发10篇博客披露卷宗_网易新闻中心 听证会前不久，一位山东高院的熟人曾向陈光武暗示：聂案能把问题解决就行了，不要把错案追究提得过于严厉，那样会影响稳定，会让河北方面下不来台。 http://t.cn/RAgwHKL,http://weibo.com/2789987213/CgLRc1dcG?refer_flag=1001030103_,2015-05-07 21:09,网易,2,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=16,2016-12-7 12:47:49,1,2,0,0,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.180.180.50/6c0e415ajw1e8qgp5bmzyj2050050aa8.jpg,1812873562,贺耀辉律师,http://weibo.com/u/1812873562?refer_flag=1001030103_,聂树斌案听证会：程序正义缺失，实体公正何求?_共识网 既然牵涉到听证程序的正义性，那么听证的程序设计如何开展，各方是否在听证会上充分表达诉求，是否进行了充分的辩论程序······这些都是践行听证程序正义的要求，但我们从本次聂树斌案听证会现状来看，情况却恰恰相反 http://t.cn/RArgpUS,http://weibo.com/1812873562/CgJI1oM7a?refer_flag=1001030103_,2015-05-07 15:41,JiaThis分享按钮,1,0,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,1,0,2,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.639.639.50/9fb22a15jw8ey1yhh038oj20hs0hr3zu.jpg,2679253525,雨的节奏y8,http://weibo.com/u/2679253525?refer_flag=1001030103_,河北高院为什么拼命抵制律师对聂案卷宗调阅的合理化要求？现在就是傻子都看懂了他们处心积虑的阴暗目的。当年办案的那么多人，希望你们其中有良心未泯的人走出来。你的证明可以让正义不会迟到，同时脱离与那些丧心病狂的杀人凶手为伍。聂树斌老母会感激你人民也会称颂你！ 我分享了|陈光武：聂...,http://weibo.com/2679253525/CgJqfu3er?refer_flag=1001030103_,2015-05-07 14:57,iPhone客户端,5,2,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,5,2,0,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.180.180.50/a4269dd9jw8evduarsk9cj20500503yk.jpg,2753994201,天涯聚焦,http://weibo.com/tianyajujiao?refer_flag=1001030103_,【jzqtj123：聂树斌案中的舆论导向】是中国人都清楚，中国不是真正意义上的法制国家，处决犯人很多时候都是政治上的需要，很多案件是“做”出来的，而不是查出来的。这一点是最可怕的，因为这个可怕的原因，许多案件都是重口供、轻证据的@天涯社区 http://t.cn/RAdnfeJ,http://weibo.com/2753994201/CgJ7h9hKM?refer_flag=1001030103_,2015-05-07 14:10,专业版微博,16,4,9,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,16,4,9,,,,
聂树斌,http://tva2.sinaimg.cn/crop.146.110.1166.1166.50/77483147jw8f2vwozl102j215o1mc4qp.jpg,2001219911,盛锋律师,http://weibo.com/shengfeng999?refer_flag=1001030103_,关于聂树斌案需要查清的四个基本事实：关于聂树斌案需要查清的四个基本事实 山东省高院于4月27日对聂树斌案是否有必要进行再审时行了听证。期间听取了刑事申诉代理人的意见，并且向社会公开了聂...文字版&gt;&gt; http://t.cn/RAdleyY （新浪长微博&gt;&gt; |还在为微博...）,http://weibo.com/2001219911/CgIcnevNV?refer_flag=1001030103_,2015-05-07 11:50,新浪博客,6,3,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,6,3,0,,,,
聂树斌,http://tva1.sinaimg.cn/crop.49.0.203.203.50/53ece6dajw8epxel00d3yj208e05nmxt.jpg,1408034522,倍魄,http://weibo.com/beipo?refer_flag=1001030103_,@刘家辉律师 通过对聂树斌共9次口供的详细统计、比对、分析，发现聂对强奸过程、花衬衣偷取过程的多次描述之间存在重要出入和反复。加上供述了类似现场勘察才有的视角和数据，刘律师得出结论：聂树斌的口供是被警方一步步诱供出来的@陈光武律师@石扉客2014 『加载中....』http://t.cn/RArWSap,http://weibo.com/1408034522/CgH5tlH8n?refer_flag=1001030103_,2015-05-07 9:00,华为麦芒B199,8,6,5,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,8,6,5,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.180.180.50/5f739652jw1e8qgp5bmzyj2050050aa8.jpg,1601410642,丁金坤律师,http://weibo.com/u/1601410642?refer_flag=1001030103_,发表了博文《史记聂树斌传（中）》2015年4月28日，山东高院举行聂树斌强奸杀人案件复查听证会。会议伊始，河北原办案单位介绍案情，而彼时，聂案代理律师陈光武竟不得入场，安排中途发言后即被退场，连参会人|史记聂树斌...,http://weibo.com/1601410642/CgFoA7HNE?refer_flag=1001030103_,2015-05-07 4:42,新浪博客,5,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,5,0,0,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.480.480.50/005IdkhGjw8eiy3zz264jj30dc0dcdfw.jpg,5233999184,能不能快乐的玩耍啊,http://weibo.com/u/5233999184?refer_flag=1001030103_,#聂树斌案#部分公检法办案人员一览。,http://weibo.com/5233999184/CgDt7CALs?refer_flag=1001030103_,2015-05-06 23:48,Android客户端,3,2,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,3,2,0,,,,
聂树斌,http://tva1.sinaimg.cn/crop.167.45.387.387.50/bdb55887gw1f262s7dy48j20hy0dg0ui.jpg,3182778503,郭国松,http://weibo.com/gguosong?refer_flag=1001030103_,湘潭大学法学院教授邱兴隆和法大教授洪道德为聂树斌案再审的隔空对决持续上演，但邱的第二轮回应词不达意。他说：“现有证据既不足以证明是王也不足以证明是聂作案。”这种判断简单化了，因为警方对王书金的有罪供述采取不承认的态度，当然就不会去侦查，再加上未做强奸鉴定，那就只剩下口供。,http://weibo.com/3182778503/Cgz85omtm?refer_flag=1001030103_,2015-05-06 12:45,三星Galaxy NOTE III,1,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,1,1,0,,,,
聂树斌,http://tva1.sinaimg.cn/crop.108.9.440.440.50/ec569609jw1ecq2vz4wz8j20fa0eegn5.jpg,3965097481,天下舆情,http://weibo.com/u/3965097481?refer_flag=1001030103_,【聂树斌案版绕口令】打南边来了个王书金，打北边来了个聂树斌。王书金说他玉米地里杀了人，聂树斌说他玉米地里没杀人，法官不让王书金说他杀了人，也不让聂树斌说他没杀人，王书金偏要说他杀了人，聂树斌据说承认杀了人，结果是杀了聂树斌又要杀王书金，只留下两桩案子气死人！|关于王书金...,http://weibo.com/3965097481/CgxV9nUiZ?refer_flag=1001030103_,2015-05-06 9:40,微博 weibo.com,3,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,3,1,0,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.750.750.50/6a6fe1b7jw8f0f1uww7slj20ku0ku754.jpg,1785717175,姜逸青,http://weibo.com/u/1785717175?refer_flag=1001030103_,【聂树斌案不能由“来俊臣”裁定】到了现在，司法领域内所谓的“特色先进工作者”，就都是一些执法犯法，仰仗权势，不为老百姓办事的人。整日介只想徇私舞弊，临到... 原文：|聂树斌案不... （分享自@微博搜索）,http://weibo.com/1785717175/CgxJfxSBV?refer_flag=1001030103_,2015-05-06 9:11,微博搜索,1,0,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,1,0,2,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.180.180.50/53046c41jw1e8qgp5bmzyj2050050aa8.jpg,1392798785,许小峰xiaofeng,http://weibo.com/u/1392798785?refer_flag=1001030103_,中国气象报： 聂树斌案的关键气象资料是怎样获得的？ 根据案卷显示，聂树斌被执行死刑日期为1995年4月27日；但李树亭指出，聂树斌被执行枪决的照片显示，聂树斌身着羽绒服跪在雪地中，现场人员也均着冬衣。 http://t.cn/RAri7AK,http://weibo.com/1392798785/CgxEY9P4A?refer_flag=1001030103_,2015-05-06 9:00,百度分享,4,1,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=17,2016-12-7 12:48:07,1,4,1,2,,,,
聂树斌,http://tva1.sinaimg.cn/crop.49.0.203.203.50/53ece6dajw8epxel00d3yj208e05nmxt.jpg,1408034522,倍魄,http://weibo.com/beipo?refer_flag=1001030103_,按照洪道德的逻辑，聂案必须再审，但再审法庭却可能如此宣判：聂树斌犯故意杀人罪，判处死刑；聂树斌犯强奸罪的指控因证据不足而不予认定。——聂树斌虽有冤情，但他却死的不冤！洪道德先生身为常上央视的颇有地位的大学者，究竟是真的大脑逻辑混乱不清，还是被命题作文坑爹了呢？|​洪道德虽...,http://weibo.com/1408034522/CgugTuRrz?refer_flag=1001030103_,2015-05-06 0:23,微博 weibo.com,31,9,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=18,2016-12-7 12:48:24,1,31,9,2,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.1328.1328.50/8e13e8ecjw8f4lp0a1vh9j210w10waef.jpg,2383669484,阳明门下徒,http://weibo.com/u/2383669484?refer_flag=1001030103_,真相：无论是黑龙江边陲枪杀案，还是西南成都街头别车殴打事件，区伯被嫖娼案，郑州贾灵敏义务普法案，以及二十年前聂树斌案，网民们几乎都能在第一时间，得到各个方面的信息，并最终了解到最接近真相的内容。国民了解真相后，便不会被轻易忽悠、洗脑、愚弄，真相与常识必定会推动社会进步。,http://weibo.com/2383669484/CgtsZ6gPV?refer_flag=1001030103_,2015-05-05 22:20,三星GALAXY Note 4,2,3,4,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=18,2016-12-7 12:48:24,1,2,3,4,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.12.750.750.50/62ceea37jw8f5xcfi363mj20ku0lit94.jpg,1657727543,渝人张3,http://weibo.com/yurenzhang3?refer_flag=1001030103_,昨天聂树斌，今天徐纯合，哪位达人说公检法本该是魏蜀吴却成了刘关张，这样一个环境下，明天或许就是你或我。意识到这个还不是最伤心的，最伤心的是你意识到了，却无力改变……,http://weibo.com/1657727543/CgtrnuZvi?refer_flag=1001030103_,2015-05-05 22:16,Android客户端,2,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=18,2016-12-7 12:48:24,1,2,1,0,,,,
